ticket_id,industry,category,priority,sentiment,title,description,created_date,channel,resolution_time_hours
TKT-000001,SaaS / Tech,billing,high,negative,Charged $217 for feature never activated,"Hello,

Invoice includes $217 for Enterprise Analytics Add-on. We never enabled this. Our plan is Starter.",2025-12-06,chat,1
TKT-000003,SaaS / Tech,technical,high,negative,SAML SSO broken after v4.1 update,"Good afternoon,

SSO with Azure AD broken since 2026-02-08. Users hit error after authenticating.",2025-05-12,web,8
TKT-000009,SaaS / Tech,billing,medium,positive,Annual plan invoiced monthly,"Good afternoon,

Switched to annual plan on 2026-01-09 for 20% discount. Still charged every 30 days. Account: ACC8115377.",2025-03-09,web,48
TKT-000010,SaaS / Tech,billing,low,negative,Mobile app data sync delay 2–6 hours,"Dear support team,

This is unacceptable — web changes take 5 hours to appear on mobile. Field team working with stale data.

Please help ASAP.",2025-09-08,mobile,72
TKT-000012,SaaS / Tech,technical,high,negative,OAuth token refresh returning 401,"Good afternoon,

Refresh requests return 401 even with valid tokens. Sessions expire every 32 minutes.",2025-12-21,email,8
TKT-000020,SaaS / Tech,technical,high,negative,REST API intermittent 500 errors,"Hi,

CoreLogic Inc integration receiving HTTP 500 since 2026-02-08. Happens every 16 min. Request IDs: REF-21989, REF-81603. This has been going on for too long.",2025-10-01,chat,8
TKT-000021,SaaS / Tech,billing,high,negative,Charged $95 for feature never activated,"Good morning,

Invoice includes $95 for Enterprise Analytics Add-on. We never enabled this. Our plan is Growth.

Please help ASAP.",2026-01-24,mobile,8
TKT-000024,SaaS / Tech,account,low,neutral,2FA enforcement locking out users,"To whom it may concern,

After enforcing 2FA on 2026-02-08, 12 users locked out. Setup flow errors after QR scan.

Regards,",2026-02-11,mobile,168
TKT-000028,SaaS / Tech,account,medium,neutral,Invited user gets Access Denied after accepting,"Invited Hannah Martin to Orbis Systems workspace. They accepted but see 'Access Denied' on all pages. Admin shows them active.

Looking forward to your response.",2025-10-18,email,48
TKT-000029,SaaS / Tech,account,high,neutral,SCIM provisioning failing with 400,"Hi,

New users via Okta SCIM not provisioning. Endpoint returns 400 Bad Request.",2025-11-13,email,8
TKT-000039,SaaS / Tech,billing,high,neutral,Workspace suspended despite payment,"Hi,

Payment failed on 2026-02-10. Updated and paid within 1 hours. Workspace still suspended 2 days later.

Looking forward to your response.",2026-01-26,web,8
