faq_id,domain,category,question,answer,created_date
FAQ-001,SaaS / Tech,billing,How does seat-based billing work?,You're billed for number of active seats (user accounts) in workspace. Removing user deactivates seat. Billing adjusts start of next billing cycle.,2026-01-20
FAQ-002,SaaS / Tech,billing,How to downgrade plan?,Settings → Billing → Change Plan → select lower plan. Downgrades effective end of current billing period. No charge for unused time.,2025-09-18
FAQ-003,SaaS / Tech,billing,Can I get refund if I cancel?,Annual plan customers eligible for pro-rata refund for unused full months if cancelled within 30 days of renewal. Monthly plans not refunded for current period.,2026-02-02
FAQ-004,SaaS / Tech,billing,Why was workspace suspended after failed payment?,"Workspaces enter 7-day grace period after failed payment. If not received within window, workspace suspended. All data retained 30 days after suspension.",2025-12-04
FAQ-005,SaaS / Tech,billing,How to update billing credit card?,Settings → Billing → Payment Methods → Edit. Changes apply immediately to next billing cycle.,2026-01-31
FAQ-006,SaaS / Tech,billing,How to get copy of past invoice?,Settings → Billing → Invoice History → select month → Download PDF. All invoices available from account creation date.,2025-10-10
FAQ-007,SaaS / Tech,billing,Do you offer non-profit or educational discounts?,Yes. 30% discounts for verified non-profits and 50% for qualifying educational institutions. Apply via Settings → Billing → Discount Programs.,2025-11-23
FAQ-008,SaaS / Tech,billing,How does annual plan discount work?,Annual plans billed upfront for 12 months at 20% discount versus monthly rate. Discount applied automatically at checkout when selecting annual billing.,2025-12-09
FAQ-009,SaaS / Tech,billing,How to apply tax exemption certificate?,"Settings → Billing → Tax Exemption → Upload Certificate. Once verified (typically 3 business days), tax removed from future invoices.",2025-10-25
FAQ-010,SaaS / Tech,billing,Why charged for feature add-on I didn't activate?,Some add-ons have trial period after which they convert to paid. Check Settings → Billing → Add-ons for active add-ons. Contact support to dispute and remove.,2025-09-20
FAQ-011,SaaS / Tech,billing,How to set up multiple payment methods?,Settings → Billing → Payment Methods → Add Method. Designate primary and backup payment method. Auto-pay uses primary.,2025-12-12
FAQ-012,SaaS / Tech,billing,Can I switch from monthly to annual billing?,"Yes. Switch anytime via Settings → Billing → Change Plan → toggle to Annual. Charged annual rate immediately, credited for unused days on current monthly cycle.",2026-01-15
FAQ-013,SaaS / Tech,billing,What happens to data if I don't pay invoice?,"After 7-day grace period, workspace suspended but data retained. After 30 days suspension, data deletion begins. Can reactivate anytime within 30-day window.",2025-08-26
FAQ-014,SaaS / Tech,billing,How to get W-9 or vendor form?,Contact support with your company name and finance contact. We send completed W-9 or vendor form within 2 business days.,2025-12-08
FAQ-015,SaaS / Tech,billing,How are usage-based charges calculated?,"Usage charges (e.g., API calls, storage overages) calculated end of each billing cycle based on actual consumption. Usage breakdown in Settings → Billing → Usage.",2025-11-22
FAQ-016,SaaS / Tech,billing,Can I add PO number to invoices?,"Yes. Settings → Billing → Invoice Settings → PO Number. Appears on all future invoices. For past invoices, contact support.",2026-01-15
FAQ-017,SaaS / Tech,billing,What currencies supported for billing?,"We support USD, EUR, GBP, CAD, AUD. Currency set at account creation. Contact support to change — requires re-entering payment details.",2025-08-17
